id,year_month,uf,product,unit,volume,created_at
1,2013-01-01,RO,OLEO DIESEL S-10,m3,81453.67,2022-06-14 09:28:16.189637-03
2,2013-01-01,AC,OLEO DIESEL S-10,m3,1483,2022-06-14 09:28:16.189637-03
3,2013-01-01,AM,OLEO DIESEL S-10,m3,6836.3,2022-06-14 09:28:16.189637-03
4,2013-01-01,RR,OLEO DIESEL S-10,m3,1475.3,2022-06-14 09:28:16.189637-03
5,2013-01-01,PA,OLEO DIESEL S-10,m3,40913.48,2022-06-14 09:28:16.189637-03
6,2013-01-01,AP,OLEO DIESEL S-10,m3,683.948,2022-06-14 09:28:16.189637-03
7,2013-01-01,TO,OLEO DIESEL S-10,m3,11771.7,2022-06-14 09:28:16.189637-03
8,2013-01-01,MA,OLEO DIESEL S-10,m3,12974,2022-06-14 09:28:16.189637-03
9,2013-01-01,PI,OLEO DIESEL S-10,m3,6373.25,2022-06-14 09:28:16.189637-03
10,2013-01-01,CE,OLEO DIESEL S-10,m3,47724.922,2022-06-14 09:28:16.189637-03
11,2013-01-01,RN,OLEO DIESEL S-10,m3,3025.55,2022-06-14 09:28:16.189637-03
12,2013-01-01,PB,OLEO DIESEL S-10,m3,2964.5,2022-06-14 09:28:16.189637-03
13,2013-01-01,PE,OLEO DIESEL S-10,m3,94832.55,2022-06-14 09:28:16.189637-03
14,2013-01-01,AL,OLEO DIESEL S-10,m3,58801.637,2022-06-14 09:28:16.189637-03
15,2013-01-01,SE,OLEO DIESEL S-10,m3,9882.4,2022-06-14 09:28:16.189637-03
16,2013-01-01,BA,OLEO DIESEL S-10,m3,55057.999,2022-06-14 09:28:16.189637-03
17,2013-01-01,MG,OLEO DIESEL S-10,m3,102297.806,2022-06-14 09:28:16.189637-03
18,2013-01-01,ES,OLEO DIESEL S-10,m3,13020,2022-06-14 09:28:16.189637-03
19,2013-01-01,RJ,OLEO DIESEL S-10,m3,92614.39,2022-06-14 09:28:16.189637-03
20,2013-01-01,SP,OLEO DIESEL S-10,m3,235476.41,2022-06-14 09:28:16.189637-03
21,2013-01-01,PR,OLEO DIESEL S-10,m3,54564.884,2022-06-14 09:28:16.189637-03
22,2013-01-01,SC,OLEO DIESEL S-10,m3,31415.778,2022-06-14 09:28:16.189637-03
23,2013-01-01,RS,OLEO DIESEL S-10,m3,36805.532,2022-06-14 09:28:16.189637-03
24,2013-01-01,MS,OLEO DIESEL S-10,m3,10515.1,2022-06-14 09:28:16.189637-03
25,2013-01-01,MT,OLEO DIESEL S-10,m3,15429.153,2022-06-14 09:28:16.189637-03
26,2013-01-01,GO,OLEO DIESEL S-10,m3,14061.55,2022-06-14 09:28:16.189637-03
27,2013-01-01,DF,OLEO DIESEL S-10,m3,66012.73,2022-06-14 09:28:16.189637-03
28,2013-01-01,RO,OLEO DIESEL S-500,m3,0,2022-06-14 09:28:16.189637-03
29,2013-01-01,AC,OLEO DIESEL S-500,m3,0,2022-06-14 09:28:16.189637-03
30,2013-01-01,AM,OLEO DIESEL S-500,m3,541,2022-06-14 09:28:16.189637-03
31,2013-01-01,RR,OLEO DIESEL S-500,m3,0,2022-06-14 09:28:16.189637-03
32,2013-01-01,PA,OLEO DIESEL S-500,m3,2056,2022-06-14 09:28:16.189637-03
33,2013-01-01,AP,OLEO DIESEL S-500,m3,0,2022-06-14 09:28:16.189637-03
34,2013-01-01,TO,OLEO DIESEL S-500,m3,2330.5,2022-06-14 09:28:16.189637-03
35,2013-01-01,MA,OLEO DIESEL S-500,m3,69684.071,2022-06-14 09:28:16.189637-03
36,2013-01-01,PI,OLEO DIESEL S-500,m3,39924.95,2022-06-14 09:28:16.189637-03
37,2013-01-01,CE,OLEO DIESEL S-500,m3,2053.5,2022-06-14 09:28:16.189637-03
38,2013-01-01,RN,OLEO DIESEL S-500,m3,1022.55,2022-06-14 09:28:16.189637-03
39,2013-01-01,PB,OLEO DIESEL S-500,m3,38591.16,2022-06-14 09:28:16.189637-03
40,2013-01-01,PE,OLEO DIESEL S-500,m3,749045.37,2022-06-14 09:28:16.189637-03
41,2013-01-01,AL,OLEO DIESEL S-500,m3,32434,2022-06-14 09:28:16.189637-03
42,2013-01-01,SE,OLEO DIESEL S-500,m3,23705.3,2022-06-14 09:28:16.189637-03
43,2013-01-01,BA,OLEO DIESEL S-500,m3,240737.51,2022-06-14 09:28:16.189637-03
