year_month,uf,product,unit,volume
2000-01-01,RO,GASOLINA C,m3,136073.253
2000-01-01,AC,GASOLINA C,m3,3358.346
2000-01-01,AM,GASOLINA C,m3,20766.918
2000-01-01,RR,GASOLINA C,m3,3716.032
2000-01-01,PA,GASOLINA C,m3,29755.907
2000-01-01,AP,GASOLINA C,m3,4096.7
2000-01-01,TO,GASOLINA C,m3,8046.45
2000-01-01,MA,GASOLINA C,m3,19185.495
2000-01-01,PI,GASOLINA C,m3,9638.45
2000-01-01,CE,GASOLINA C,m3,36847.944
2000-01-01,RN,GASOLINA C,m3,17949.95
2000-01-01,PB,GASOLINA C,m3,20266.851
2000-01-01,PE,GASOLINA C,m3,51905.707
2000-01-01,AL,GASOLINA C,m3,164548.309
2000-01-01,SE,GASOLINA C,m3,12707.571
2000-01-01,BA,GASOLINA C,m3,73630.193
2000-01-01,MG,GASOLINA C,m3,197289.3
2000-01-01,ES,GASOLINA C,m3,34425.525
2000-01-01,RJ,GASOLINA C,m3,162775.786
2000-01-01,SP,GASOLINA C,m3,575302.161
2000-01-01,PR,GASOLINA C,m3,141272.276
2000-01-01,SC,GASOLINA C,m3,84778.684
2000-01-01,RS,GASOLINA C,m3,160079.439
2000-01-01,MS,GASOLINA C,m3,21692.937
2000-01-01,MT,GASOLINA C,m3,23245.28
2000-01-01,GO,GASOLINA C,m3,58254.692
2000-01-01,DF,GASOLINA C,m3,593389.679
2001-01-01,RO,GASOLINA C,m3,10500.844
2001-01-01,AC,GASOLINA C,m3,3345.625
2001-01-01,AM,GASOLINA C,m3,22763.56
2001-01-01,RR,GASOLINA C,m3,3111.004
2001-01-01,PA,GASOLINA C,m3,35388.101
2001-01-01,AP,GASOLINA C,m3,3861.75
2001-01-01,TO,GASOLINA C,m3,8425.556
2001-01-01,MA,GASOLINA C,m3,17102.723
2001-01-01,PI,GASOLINA C,m3,10160.891
2001-01-01,CE,GASOLINA C,m3,37412.089
2001-01-01,RN,GASOLINA C,m3,17288.335
2001-01-01,PB,GASOLINA C,m3,18375.675
2001-01-01,PE,GASOLINA C,m3,579786.235
2001-01-01,AL,GASOLINA C,m3,13568.178
2001-01-01,SE,GASOLINA C,m3,11668.753
2001-01-01,BA,GASOLINA C,m3,74123.351
2001-01-01,MG,GASOLINA C,m3,184219.455
2001-01-01,ES,GASOLINA C,m3,36569.244
2001-01-01,RJ,GASOLINA C,m3,146681.188
2001-01-01,SP,GASOLINA C,m3,660289.834
2001-01-01,PR,GASOLINA C,m3,123959.254
2001-01-01,SC,GASOLINA C,m3,89426.347
2001-01-01,RS,GASOLINA C,m3,159952.898
2001-01-01,MS,GASOLINA C,m3,20968.944
2001-01-01,MT,GASOLINA C,m3,32030.24
2001-01-01,GO,GASOLINA C,m3,720199.91
2001-01-01,DF,GASOLINA C,m3,50948.911
2002-01-01,RO,GASOLINA C,m3,10469.805
2002-01-01,AC,GASOLINA C,m3,4451.197
2002-01-01,AM,GASOLINA C,m3,22331.224
2002-01-01,RR,GASOLINA C,m3,4735.0
2002-01-01,PA,GASOLINA C,m3,28452.295
2002-01-01,AP,GASOLINA C,m3,3848.1
2002-01-01,TO,GASOLINA C,m3,8494.098
2002-01-01,MA,GASOLINA C,m3,20639.569
2002-01-01,PI,GASOLINA C,m3,11344.116
2002-01-01,CE,GASOLINA C,m3,37094.959
2002-01-01,RN,GASOLINA C,m3,20353.694
2002-01-01,PB,GASOLINA C,m3,240567.715
2002-01-01,PE,GASOLINA C,m3,52880.459
2002-01-01,AL,GASOLINA C,m3,13044.657
2002-01-01,SE,GASOLINA C,m3,14221.868
2002-01-01,BA,GASOLINA C,m3,70736.967
2002-01-01,MG,GASOLINA C,m3,197349.903
2002-01-01,ES,GASOLINA C,m3,33972.952
2002-01-01,RJ,GASOLINA C,m3,151016.755
2002-01-01,SP,GASOLINA C,m3,627378.926
2002-01-01,PR,GASOLINA C,m3,119121.519
2002-01-01,SC,GASOLINA C,m3,93629.204
2002-01-01,RS,GASOLINA C,m3,152856.056
2002-01-01,MS,GASOLINA C,m3,25173.493
2002-01-01,MT,GASOLINA C,m3,325636.254
2002-01-01,GO,GASOLINA C,m3,67844.61
2002-01-01,DF,GASOLINA C,m3,54537.718
2003-01-01,RO,GASOLINA C,m3,12687.923
2003-01-01,AC,GASOLINA C,m3,3963.002
2003-01-01,AM,GASOLINA C,m3,23330.35
2003-01-01,RR,GASOLINA C,m3,4258.399
2003-01-01,PA,GASOLINA C,m3,28451.245
2003-01-01,AP,GASOLINA C,m3,4286.4
2003-01-01,TO,GASOLINA C,m3,7281.356
2003-01-01,MA,GASOLINA C,m3,16326.714
2003-01-01,PI,GASOLINA C,m3,10191.948
2003-01-01,CE,GASOLINA C,m3,42444.828
2003-01-01,RN,GASOLINA C,m3,218671.982
2003-01-01,PB,GASOLINA C,m3,25145.413
2003-01-01,PE,GASOLINA C,m3,48933.414
2003-01-01,AL,GASOLINA C,m3,14358.817
2003-01-01,SE,GASOLINA C,m3,12697.061
2003-01-01,BA,GASOLINA C,m3,71467.643
2003-01-01,MG,GASOLINA C,m3,198950.87
2003-01-01,ES,GASOLINA C,m3,32276.46
2003-01-01,RJ,GASOLINA C,m3,151298.069
2003-01-01,SP,GASOLINA C,m3,532955.359
2003-01-01,PR,GASOLINA C,m3,106600.294
2003-01-01,SC,GASOLINA C,m3,92750.8
2003-01-01,RS,GASOLINA C,m3,156967.464
2003-01-01,MS,GASOLINA C,m3,302352.311
2003-01-01,MT,GASOLINA C,m3,31900.431
2003-01-01,GO,GASOLINA C,m3,67421.569
2003-01-01,DF,GASOLINA C,m3,59741.044
2004-01-01,RO,GASOLINA C,m3,15013.158
2004-01-01,AC,GASOLINA C,m3,4362.524
2004-01-01,AM,GASOLINA C,m3,25590.409
2004-01-01,RR,GASOLINA C,m3,3713.6
2004-01-01,PA,GASOLINA C,m3,29107.775
2004-01-01,AP,GASOLINA C,m3,4844.4
2004-01-01,TO,GASOLINA C,m3,9700.949
2004-01-01,MA,GASOLINA C,m3,18983.836
2004-01-01,PI,GASOLINA C,m3,13207.436
2004-01-01,CE,GASOLINA C,m3,503268.744
2004-01-01,RN,GASOLINA C,m3,24192.259
2004-01-01,PB,GASOLINA C,m3,22355.233
2004-01-01,PE,GASOLINA C,m3,55188.112
2004-01-01,AL,GASOLINA C,m3,15094.35
2004-01-01,SE,GASOLINA C,m3,13473.737
2004-01-01,BA,GASOLINA C,m3,81976.188
2004-01-01,MG,GASOLINA C,m3,200467.832
2004-01-01,ES,GASOLINA C,m3,30255.883
2004-01-01,RJ,GASOLINA C,m3,157165.784
2004-01-01,SP,GASOLINA C,m3,590699.89
2004-01-01,PR,GASOLINA C,m3,119383.604
2004-01-01,SC,GASOLINA C,m3,114036.549
2004-01-01,RS,GASOLINA C,m3,1964302.476
2004-01-01,MS,GASOLINA C,m3,31147.641
2004-01-01,MT,GASOLINA C,m3,31258.547
2004-01-01,GO,GASOLINA C,m3,74040.858
2004-01-01,DF,GASOLINA C,m3,61216.579
2005-01-01,RO,GASOLINA C,m3,15862.505
2005-01-01,AC,GASOLINA C,m3,4356.252
2005-01-01,AM,GASOLINA C,m3,20474.571
2005-01-01,RR,GASOLINA C,m3,3580.1
2005-01-01,PA,GASOLINA C,m3,31598.509
2005-01-01,AP,GASOLINA C,m3,4870.05
2005-01-01,TO,GASOLINA C,m3,8933.688
2005-01-01,MA,GASOLINA C,m3,23351.776
2005-01-01,PI,GASOLINA C,m3,173735.648
2005-01-01,CE,GASOLINA C,m3,49862.67
2005-01-01,RN,GASOLINA C,m3,21087.66
2005-01-01,PB,GASOLINA C,m3,20989.708
2005-01-01,PE,GASOLINA C,m3,51558.509
2005-01-01,AL,GASOLINA C,m3,14056.401
2005-01-01,SE,GASOLINA C,m3,12749.764
2005-01-01,BA,GASOLINA C,m3,84169.179
2005-01-01,MG,GASOLINA C,m3,213884.224
2005-01-01,ES,GASOLINA C,m3,34831.938
2005-01-01,RJ,GASOLINA C,m3,154521.498
2005-01-01,SP,GASOLINA C,m3,540210.582
2005-01-01,PR,GASOLINA C,m3,127580.029
2005-01-01,SC,GASOLINA C,m3,1353068.925
2005-01-01,RS,GASOLINA C,m3,184473.192
2005-01-01,MS,GASOLINA C,m3,25448.105
2005-01-01,MT,GASOLINA C,m3,29564.915
2005-01-01,GO,GASOLINA C,m3,76927.935
2005-01-01,DF,GASOLINA C,m3,63588.64
2006-01-01,RO,GASOLINA C,m3,15637.411
2006-01-01,AC,GASOLINA C,m3,4312.826
2006-01-01,AM,GASOLINA C,m3,27765.021
2006-01-01,RR,GASOLINA C,m3,3713.0
2006-01-01,PA,GASOLINA C,m3,34543.228
2006-01-01,AP,GASOLINA C,m3,4563.634
2006-01-01,TO,GASOLINA C,m3,9274.168
2006-01-01,MA,GASOLINA C,m3,306351.738
2006-01-01,PI,GASOLINA C,m3,19309.941
2006-01-01,CE,GASOLINA C,m3,44867.955
2006-01-01,RN,GASOLINA C,m3,23560.661
2006-01-01,PB,GASOLINA C,m3,24829.84
2006-01-01,PE,GASOLINA C,m3,56263.791
2006-01-01,AL,GASOLINA C,m3,13172.839
2006-01-01,SE,GASOLINA C,m3,13993.842
2006-01-01,BA,GASOLINA C,m3,82375.676
2006-01-01,MG,GASOLINA C,m3,213519.19
2006-01-01,ES,GASOLINA C,m3,38645.678
2006-01-01,RJ,GASOLINA C,m3,135486.217
2006-01-01,SP,GASOLINA C,m3,540321.394
2006-01-01,PR,GASOLINA C,m3,1645806.401
2006-01-01,SC,GASOLINA C,m3,144765.067
2006-01-01,RS,GASOLINA C,m3,155948.186
2006-01-01,MS,GASOLINA C,m3,26981.736
2006-01-01,MT,GASOLINA C,m3,32436.703
2006-01-01,GO,GASOLINA C,m3,76071.29
2006-01-01,DF,GASOLINA C,m3,57433.852
2007-01-01,RO,GASOLINA C,m3,16399.4818427454
2007-01-01,AC,GASOLINA C,m3,4882.67897812401
2007-01-01,AM,GASOLINA C,m3,27996.8880024695
2007-01-01,RR,GASOLINA C,m3,4621.94216699265
2007-01-01,PA,GASOLINA C,m3,34134.923319391
2007-01-01,AP,GASOLINA C,m3,5407.35603014227
2007-01-01,TO,GASOLINA C,m3,157048.592779404
2007-01-01,MA,GASOLINA C,m3,30905.6235302274
2007-01-01,PI,GASOLINA C,m3,17927.281347769
2007-01-01,CE,GASOLINA C,m3,48480.1925696919
2007-01-01,RN,GASOLINA C,m3,21284.3971413623
2007-01-01,PB,GASOLINA C,m3,25790.4838012793
2007-01-01,PE,GASOLINA C,m3,50343.2373773748
2007-01-01,AL,GASOLINA C,m3,13290.0388782233
2007-01-01,SE,GASOLINA C,m3,14246.606108523
2007-01-01,BA,GASOLINA C,m3,82177.3673066302
2007-01-01,MG,GASOLINA C,m3,237633.111331997
2007-01-01,ES,GASOLINA C,m3,37610.3937147548
2007-01-01,RJ,GASOLINA C,m3,131168.674604248
2007-01-01,SP,GASOLINA C,m3,7153912.53003731
2007-01-01,PR,GASOLINA C,m3,157981.42474008
2007-01-01,SC,GASOLINA C,m3,111236.961072292
2007-01-01,RS,GASOLINA C,m3,170834.51456687
2007-01-01,MS,GASOLINA C,m3,26090.4702904298
2007-01-01,MT,GASOLINA C,m3,29871.4746624065
2007-01-01,GO,GASOLINA C,m3,74045.7259911736
2007-01-01,DF,GASOLINA C,m3,60931.4933637908
2008-01-01,RO,GASOLINA C,m3,16840.1996641882
2008-01-01,AC,GASOLINA C,m3,5357.15382413646
2008-01-01,AM,GASOLINA C,m3,29934.8898093597
2008-01-01,RR,GASOLINA C,m3,4455.76681722365
2008-01-01,PA,GASOLINA C,m3,42578.2452404694
2008-01-01,AP,GASOLINA C,m3,82509.6279265772
2008-01-01,TO,GASOLINA C,m3,16145.6284433933
2008-01-01,MA,GASOLINA C,m3,29931.8724407814
2008-01-01,PI,GASOLINA C,m3,23179.3226394487
2008-01-01,CE,GASOLINA C,m3,56794.5854823378
2008-01-01,RN,GASOLINA C,m3,25197.5710333366
2008-01-01,PB,GASOLINA C,m3,28727.5663849691
2008-01-01,PE,GASOLINA C,m3,51922.5206298346
2008-01-01,AL,GASOLINA C,m3,12937.8908303773
2008-01-01,SE,GASOLINA C,m3,15680.798153347
2008-01-01,BA,GASOLINA C,m3,84353.3411420811
2008-01-01,MG,GASOLINA C,m3,220922.638006482
2008-01-01,ES,GASOLINA C,m3,42775.8238511288
2008-01-01,RJ,GASOLINA C,m3,1616429.48143135
